qa_uuid,qasrl_id,tokens,verb,question,answer,answer_range,verb_idx
2008~!~D0809-B-ABDF~!~6722~!~0~!~12~!~appeared~!~4607,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",appeared,When did something appear somewhere?,On July 5,0:2,12
2008~!~D0809-B-ABDF~!~6722~!~0~!~12~!~appeared~!~4608,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",appeared,What appeared somewhere?,"Bob Woodward 's book "" The Secret Man """,3:11,12
2008~!~D0809-B-ABDF~!~6722~!~0~!~12~!~appeared~!~4609,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",appeared,Where did something appear?,in stores,13:14,12
2008~!~D0809-B-ABDF~!~6722~!~0~!~15~!~revealing~!~4610,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",revealing,When did someone reveal something?,On July 5,0:2,15
2008~!~D0809-B-ABDF~!~6722~!~0~!~15~!~revealing~!~4611,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",revealing,What revealed something?,"Bob Woodward 's book "" The Secret Man """,3:11,15
2008~!~D0809-B-ABDF~!~6722~!~0~!~15~!~revealing~!~4612,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",revealing,Where was something being revealed?,in stores,13:14,15
2008~!~D0809-B-ABDF~!~6722~!~0~!~15~!~revealing~!~4613,2008~!~D0809-B-ABDF~!~6722~!~0,"['On', 'July', '5', 'Bob', 'Woodward', ""'s"", 'book', '""', 'The', 'Secret', 'Man', '""', 'appeared', 'in', 'stores', 'revealing', 'more', 'details', 'of', 'Felt', ""'s"", 'role', 'as', '""', 'Deep', 'Throat', '.', '""']",revealing,What was revealed?,"more details of Felt 's role as "" Deep Throat",16:25,15
2008~!~D0809-B-ABDF~!~6706~!~0~!~10~!~rushed~!~4614,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",rushed,What is rushed into something?,"The Secret Man "" by Bob Woodward",1:7,10
2008~!~D0809-B-ABDF~!~6706~!~0~!~10~!~rushed~!~4615,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",rushed,Where is something rushed?,into print,11:12,10
2008~!~D0809-B-ABDF~!~6706~!~0~!~10~!~rushed~!~4616,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",rushed,What is something rushed into?,print,12:12,10
2008~!~D0809-B-ABDF~!~6706~!~0~!~17~!~discloses~!~4617,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",discloses,Who discloses something?,the author,15:16,17
2008~!~D0809-B-ABDF~!~6706~!~0~!~17~!~discloses~!~4618,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",discloses,What does someone disclose?,additional information,18:19,17
2008~!~D0809-B-ABDF~!~6706~!~0~!~20~!~including~!~4619,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",including,What includes something?,additional information,18:19,20
2008~!~D0809-B-ABDF~!~6706~!~0~!~20~!~including~!~4620,2008~!~D0809-B-ABDF~!~6706~!~0,"['""', 'The', 'Secret', 'Man', '""', 'by', 'Bob', 'Woodward', 'is', 'being', 'rushed', 'into', 'print', 'in', 'which', 'the', 'author', 'discloses', 'additional', 'information', 'including', 'the', 'identification', 'of', 'the', 'garage', 'where', 'Woodward', 'had', 'his', 'secret', 'meetings', 'with', 'Felt', '.']",including,What does something include?,the identification of the garage,21:25,20
2009~!~D0931-A-CDFG~!~6786~!~0~!~2~!~granted~!~4621,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",granted,Who was granted something?,He,0:0,2
2009~!~D0931-A-CDFG~!~6786~!~0~!~2~!~granted~!~4622,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",granted,What was someone granted?,full pardon,3:4,2
2009~!~D0931-A-CDFG~!~6786~!~0~!~6~!~allowed~!~4623,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",allowed,Who was allowed to do something?,He,0:0,6
2009~!~D0931-A-CDFG~!~6786~!~0~!~6~!~allowed~!~4624,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",allowed,What was someone allowed to do?,to keep the money,7:10,6
2009~!~D0931-A-CDFG~!~6786~!~0~!~8~!~keep~!~4625,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",keep,Who kept something?,He,0:0,8
2009~!~D0931-A-CDFG~!~6786~!~0~!~8~!~keep~!~4626,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",keep,What did someone keep?,the money,9:10,8
2009~!~D0931-A-CDFG~!~6786~!~0~!~11~!~believed~!~4627,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",believed,What was believed to do something?,the money,9:10,11
2009~!~D0931-A-CDFG~!~6786~!~0~!~11~!~believed~!~4628,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",believed,What was believed?,money,10:10,11
2009~!~D0931-A-CDFG~!~6786~!~0~!~11~!~believed~!~4629,2009~!~D0931-A-CDFG~!~6786~!~0,"['He', 'was', 'granted', 'full', 'pardon', 'and', 'allowed', 'to', 'keep', 'the', 'money', 'believed', 'to', 'be', 'from', 'illicit', 'sales', '.']",believed,What was something believed to do?,to be from illicit sales,12:16,11
2009~!~D0931-A-CDFG~!~6778~!~0~!~2~!~pardoned~!~4630,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",pardoned,Who pardoned someone?,President Musharraf,0:1,2
2009~!~D0931-A-CDFG~!~6778~!~0~!~2~!~pardoned~!~4631,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",pardoned,Who did someone pardon?,Khan,3:3,2
2009~!~D0931-A-CDFG~!~6778~!~0~!~5~!~let~!~4632,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",let,Who letted someone something?,President Musharraf,0:1,5
2009~!~D0931-A-CDFG~!~6778~!~0~!~5~!~let~!~4633,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",let,Who does someone let?,him,6:6,5
2009~!~D0931-A-CDFG~!~6778~!~0~!~5~!~let~!~4634,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",let,What did someone let someone  do?,keep his profits,7:9,5
2009~!~D0931-A-CDFG~!~6778~!~0~!~7~!~keep~!~4635,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",keep,Who kept something?,Khan,3:3,7
2009~!~D0931-A-CDFG~!~6778~!~0~!~7~!~keep~!~4636,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",keep,What did someone keep?,his profits,8:9,7
2009~!~D0931-A-CDFG~!~6778~!~0~!~12~!~denied~!~4637,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",denied,Who denied something?,President Musharraf,0:1,12
2009~!~D0931-A-CDFG~!~6778~!~0~!~12~!~denied~!~4638,2009~!~D0931-A-CDFG~!~6778~!~0,"['President', 'Musharraf', 'pardoned', 'Khan', ',', 'let', 'him', 'keep', 'his', 'profits', ',', 'and', 'denied', 'government', 'involvement', '.']",denied,What did someone deny?,government involvement,13:14,12
2009~!~D0931-A-CDFG~!~6788~!~2~!~2~!~pardoned~!~4639,2009~!~D0931-A-CDFG~!~6788~!~2,"['He', 'was', 'pardoned', ',', 'but', 'remains', 'under', 'house', 'arrest', '.']",pardoned,Who was pardoned?,He,0:0,2
2009~!~D0931-A-CDFG~!~6788~!~2~!~5~!~remains~!~4640,2009~!~D0931-A-CDFG~!~6788~!~2,"['He', 'was', 'pardoned', ',', 'but', 'remains', 'under', 'house', 'arrest', '.']",remains,Who remains in something?,He,0:0,5
2009~!~D0931-A-CDFG~!~6788~!~2~!~5~!~remains~!~4641,2009~!~D0931-A-CDFG~!~6788~!~2,"['He', 'was', 'pardoned', ',', 'but', 'remains', 'under', 'house', 'arrest', '.']",remains,How does someone remain?,under house arrest,6:8,5
2009~!~D0931-A-CDFG~!~6793~!~1~!~1~!~lives~!~4642,2009~!~D0931-A-CDFG~!~6793~!~1,"['Khan', 'lives', 'under', 'house', 'arrest', 'in', 'Islamabad', '.']",lives,Who lives somewhere?,Khan,0:0,1
2009~!~D0931-A-CDFG~!~6793~!~1~!~1~!~lives~!~4643,2009~!~D0931-A-CDFG~!~6793~!~1,"['Khan', 'lives', 'under', 'house', 'arrest', 'in', 'Islamabad', '.']",lives,How does someone live?,under house arrest,2:4,1
2009~!~D0931-A-CDFG~!~6793~!~1~!~1~!~lives~!~4644,2009~!~D0931-A-CDFG~!~6793~!~1,"['Khan', 'lives', 'under', 'house', 'arrest', 'in', 'Islamabad', '.']",lives,Where does someone live?,in Islamabad,5:6,1
2009~!~D0931-A-CDFG~!~6789~!~0~!~1~!~claims~!~4645,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",claims,Who claims to do something?,Pakistan,0:0,1
2009~!~D0931-A-CDFG~!~6789~!~0~!~1~!~claims~!~4646,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",claims,What does someone claim?,to cooperate with the international community,2:7,1
2009~!~D0931-A-CDFG~!~6789~!~0~!~1~!~claims~!~4647,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",claims,What does someone claim to do?,cooperate with the international community,3:7,1
2009~!~D0931-A-CDFG~!~6789~!~0~!~3~!~cooperate~!~4648,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",cooperate,Who cooperates?,Pakistan,0:0,3
2009~!~D0931-A-CDFG~!~6789~!~0~!~3~!~cooperate~!~4649,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",cooperate,Who does someone cooperate with?,the international community,5:7,3
2009~!~D0931-A-CDFG~!~6789~!~0~!~9~!~put~!~4650,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",put,Who puts someone?,Pakistan,0:0,9
2009~!~D0931-A-CDFG~!~6789~!~0~!~9~!~put~!~4651,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",put,Who does someone put?,Khan,10:10,9
2009~!~D0931-A-CDFG~!~6789~!~0~!~9~!~put~!~4652,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",put,Where did someone put someone?,under house arrest,11:13,9
2009~!~D0931-A-CDFG~!~6789~!~0~!~17~!~let~!~4653,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",let,Who doesn't let someone?,Khan,10:10,17
2009~!~D0931-A-CDFG~!~6789~!~0~!~17~!~let~!~4654,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",let,Who doesn't someone let?,him,18:18,17
2009~!~D0931-A-CDFG~!~6789~!~0~!~17~!~let~!~4655,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",let,What doesn't someone let someone to do?,be questioned,19:20,17
2009~!~D0931-A-CDFG~!~6789~!~0~!~20~!~questioned~!~4656,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",questioned,Who is be questioned?,Khan,10:10,20
2009~!~D0931-A-CDFG~!~6789~!~0~!~20~!~questioned~!~4657,2009~!~D0931-A-CDFG~!~6789~!~0,"['Pakistan', 'claims', 'to', 'cooperate', 'with', 'the', 'international', 'community', 'and', 'put', 'Khan', 'under', 'house', 'arrest', 'but', 'wo', ""n't"", 'let', 'him', 'be', 'questioned', '.']",questioned,Who is questioned?,him,18:18,20
2009~!~D0931-A-CDFG~!~6787~!~0~!~3~!~placed~!~4658,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",placed,Who placed someone?,The Pakistani government,0:2,3
2009~!~D0931-A-CDFG~!~6787~!~0~!~3~!~placed~!~4659,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",placed,Who did someone place?,Khan,4:4,3
2009~!~D0931-A-CDFG~!~6787~!~0~!~3~!~placed~!~4660,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",placed,Where did someone place someone?,under house arrest,5:7,3
2009~!~D0931-A-CDFG~!~6787~!~0~!~10~!~pardoned~!~4661,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",pardoned,Who pardoned someone?,Khan,4:4,10
2009~!~D0931-A-CDFG~!~6787~!~0~!~10~!~pardoned~!~4662,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",pardoned,Who did someone pardon?,him,11:11,10
2009~!~D0931-A-CDFG~!~6787~!~0~!~10~!~pardoned~!~4663,2009~!~D0931-A-CDFG~!~6787~!~0,"['The', 'Pakistani', 'government', 'placed', 'Khan', 'under', 'house', 'arrest', ',', 'but', 'pardoned', 'him', 'because', 'he', 'is', 'a', 'national', 'hero', '.']",pardoned,Why did someone pardon someone?,because he is a national hero,12:17,10
2009~!~D0941-A-ACGH~!~6910~!~0~!~7~!~built~!~4664,2009~!~D0941-A-ACGH~!~6910~!~0,"['Huygens', 'is', 'a', '9-foot', 'landing', 'probe', ',', 'built', 'by', 'the', 'European', 'Space', 'Agency', '.']",built,What is built?,Huygens,0:0,7
2009~!~D0941-A-ACGH~!~6910~!~0~!~7~!~built~!~4665,2009~!~D0941-A-ACGH~!~6910~!~0,"['Huygens', 'is', 'a', '9-foot', 'landing', 'probe', ',', 'built', 'by', 'the', 'European', 'Space', 'Agency', '.']",built,What was built?,a 9-foot landing probe,2:5,7
2009~!~D0941-A-ACGH~!~6910~!~0~!~7~!~built~!~4666,2009~!~D0941-A-ACGH~!~6910~!~0,"['Huygens', 'is', 'a', '9-foot', 'landing', 'probe', ',', 'built', 'by', 'the', 'European', 'Space', 'Agency', '.']",built,Who built something?,the European Space Agency,9:12,7
2009~!~D0941-A-ACGH~!~6920~!~3~!~5~!~built~!~4667,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",built,What was built?,The Huygens space probe,0:3,5
2009~!~D0941-A-ACGH~!~6920~!~3~!~5~!~built~!~4668,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",built,Who built something?,the European Space Agency,9:12,5
2009~!~D0941-A-ACGH~!~6920~!~3~!~7~!~managed~!~4669,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",managed,What was managed?,The Huygens space probe,0:3,7
2009~!~D0941-A-ACGH~!~6920~!~3~!~7~!~managed~!~4670,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",managed,Who managed something?,the European Space Agency,9:12,7
2009~!~D0941-A-ACGH~!~6920~!~3~!~15~!~carried~!~4671,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",carried,What was carried?,The Huygens space probe,0:3,15
2009~!~D0941-A-ACGH~!~6920~!~3~!~15~!~carried~!~4672,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",carried,What was something carried by?,NASA 's Cassini spacecraft,17:20,15
2009~!~D0941-A-ACGH~!~6920~!~3~!~15~!~carried~!~4673,2009~!~D0941-A-ACGH~!~6920~!~3,"['The', 'Huygens', 'space', 'probe', ',', 'built', 'and', 'managed', 'by', 'the', 'European', 'Space', 'Agency', ',', 'was', 'carried', 'by', 'NASA', ""'s"", 'Cassini', 'spacecraft', 'on', 'a', '7-year', 'journey', 'to', 'Saturn', '.']",carried,Where was something carried?,on a 7-year journey to Saturn,21:26,15
2009~!~D0910-B-ABEH~!~7002~!~0~!~1~!~announced~!~4674,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",announced,Who announced something?,LTTE,0:0,1
2009~!~D0910-B-ABEH~!~7002~!~0~!~1~!~announced~!~4675,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",announced,When did someone announce something?,on Nov. 16,2:4,1
2009~!~D0910-B-ABEH~!~7002~!~0~!~1~!~announced~!~4676,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",announced,What did someone announce?,that it was prepared to start peace talks,5:12,1
2009~!~D0910-B-ABEH~!~7002~!~0~!~10~!~start~!~4677,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",start,Who started something?,LTTE,0:0,10
2009~!~D0910-B-ABEH~!~7002~!~0~!~10~!~start~!~4678,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",start,What was be started?,peace talks,11:12,10
2009~!~D0910-B-ABEH~!~7002~!~0~!~10~!~start~!~4679,2009~!~D0910-B-ABEH~!~7002~!~0,"['LTTE', 'announced', 'on', 'Nov.', '16', 'that', 'it', 'was', 'prepared', 'to', 'start', 'peace', 'talks', 'on', 'the', 'basis', 'of', 'its', 'proposed', 'Self', '-', 'Governing', 'Authority', '.']",start,How was something started?,on the basis of its proposed Self - Governing Authority,13:22,10
